,Date (M/D/YYYY),Time (H:MM:SS),Topocentric zenith angle,Top. azimuth angle (eastward from N),Top. azimuth angle (westward from S),Julian day
0,1/1/2017,0:00:00,157.863107,308.657327,128.657327,2457754.375
1,1/1/2017,0:15:00,160.03421699999998,316.136781,136.136781,2457754.385417
2,1/1/2017,0:30:00,161.901608,325.052191,145.052191,2457754.395833
3,1/1/2017,0:45:00,163.360197,335.548911,155.548911,2457754.40625
4,1/1/2017,1:00:00,164.29378799999998,347.49901800000004,167.499018,2457754.416667
5,1/1/2017,1:15:00,164.60542,0.342426,180.342426,2457754.427083
6,1/1/2017,1:30:00,164.257746,13.158544000000001,193.158544,2457754.4375
7,1/1/2017,1:45:00,163.292229,25.0389,205.0389,2457754.447917
8,1/1/2017,2:00:00,161.807943,35.448421999999994,215.44842200000002,2457754.458333
9,1/1/2017,2:15:00,159.921073,44.279332000000004,224.27933199999998,2457754.46875
10,1/1/2017,2:30:00,157.735605,51.686411,231.686411,2457754.479167
11,1/1/2017,2:45:00,155.332971,57.91614499999999,237.91614500000003,2457754.489583
12,1/1/2017,3:00:00,152.77306399999998,63.211636999999996,243.21163700000002,2457754.5
13,1/1/2017,3:15:00,150.098947,67.778013,247.778013,2457754.510417
14,1/1/2017,3:30:00,147.341567,71.77753,251.77752999999998,2457754.520833
15,1/1/2017,3:45:00,144.523434,75.335288,255.335288,2457754.53125
16,1/1/2017,4:00:00,141.661226,78.54711999999999,258.54712,2457754.541667
17,1/1/2017,4:15:00,138.76759099999998,81.48670200000001,261.486702,2457754.552083
18,1/1/2017,4:30:00,135.852364,84.211187,264.211187,2457754.5625
19,1/1/2017,4:45:00,132.923408,86.76544799999999,266.765448,2457754.572917
20,1/1/2017,5:00:00,129.987189,89.185213,269.185213,2457754.583333
21,1/1/2017,5:15:00,127.04918400000001,91.499352,271.499352,2457754.59375
22,1/1/2017,5:30:00,124.11417900000001,93.731576,273.73157599999996,2457754.604167
23,1/1/2017,5:45:00,121.18647299999999,95.901676,275.90167599999995,2457754.614583
24,1/1/2017,6:00:00,118.270049,98.02646,278.02646,2457754.625
25,1/1/2017,6:15:00,115.36868999999999,100.120451,280.120451,2457754.635417
26,1/1/2017,6:30:00,112.486084,102.196427,282.196427,2457754.645833
